epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,3979.3,0.58817,0.34033,1.02365,0.91525,0.95227,0.95953,0.76309,0.78837,0.46091,1.21894,0.000651705,0.000651705,0.000651705
119,4012.03,0.5756,0.31935,1.0272,0.9239,0.95435,0.9685,0.76754,0.79812,0.4344,1.22251,0.000646591,0.000646591,0.000646591
120,4045.38,0.58312,0.32707,1.0239,0.92616,0.9606,0.96606,0.75871,0.79358,0.4379,1.22268,0.000641477,0.000641477,0.000641477
121,4078.39,0.59403,0.3221,1.02999,0.92631,0.95804,0.95691,0.75795,0.78585,0.43363,1.21922,0.000636364,0.000636364,0.000636364
122,4111.69,0.59331,0.32503,1.02365,0.92214,0.92997,0.95648,0.75767,0.7908,0.46867,1.22207,0.00063125,0.00063125,0.00063125
123,4144.58,0.58425,0.32348,1.02547,0.91216,0.94155,0.95477,0.75451,0.79494,0.47459,1.23687,0.000626136,0.000626136,0.000626136
124,4177.7,0.57712,0.33138,1.02853,0.92612,0.92996,0.94941,0.73864,0.79062,0.51888,1.22554,0.000621023,0.000621023,0.000621023
125,4210.82,0.5801,0.32242,1.02891,0.92977,0.95744,0.95537,0.7487,0.78656,0.44371,1.20962,0.000615909,0.000615909,0.000615909
126,4244.13,0.58702,0.31947,1.02198,0.92896,0.93811,0.95352,0.75638,0.79732,0.47245,1.21366,0.000610795,0.000610795,0.000610795
127,4277.15,0.57767,0.32344,1.01957,0.93548,0.94714,0.95213,0.75732,0.78162,0.46521,1.19968,0.000605682,0.000605682,0.000605682
128,4310.18,0.58378,0.32477,1.02871,0.94904,0.93501,0.95632,0.76365,0.78122,0.45012,1.19771,0.000600568,0.000600568,0.000600568
129,4342.86,0.57245,0.32302,1.01906,0.93913,0.94402,0.95731,0.77187,0.79322,0.4491,1.21675,0.000595455,0.000595455,0.000595455
130,4375.6,0.56534,0.31832,1.01835,0.91414,0.94522,0.95735,0.76207,0.78699,0.46593,1.20454,0.000590341,0.000590341,0.000590341
131,4409.04,0.57187,0.33465,1.02402,0.92574,0.95304,0.95882,0.76089,0.78908,0.42611,1.2076,0.000585227,0.000585227,0.000585227
132,4442.3,0.56241,0.3122,1.01711,0.91812,0.96568,0.96498,0.77077,0.78232,0.43276,1.20611,0.000580114,0.000580114,0.000580114
133,4475.5,0.57902,0.32679,1.0248,0.92156,0.9673,0.95982,0.75691,0.79873,0.444,1.22451,0.000575,0.000575,0.000575
134,4508.4,0.56737,0.3153,1.0161,0.9253,0.94625,0.95502,0.75272,0.80256,0.46681,1.23329,0.000569886,0.000569886,0.000569886
135,4541.64,0.56456,0.30753,1.01539,0.91389,0.96327,0.95563,0.75715,0.78187,0.43001,1.21458,0.000564773,0.000564773,0.000564773
136,4575.05,0.57708,0.33076,1.0206,0.92432,0.95389,0.95531,0.76112,0.78087,0.44759,1.205,0.000559659,0.000559659,0.000559659
