                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.70548,                 0.4114,                  1.019,                0.93607,                0.94733,                0.96324,                0.79546,                0.75243,                0.39831,                 1.0989,               0.006733,               0.006733,               0.006733
                     68,                0.70961,                0.41367,                 1.0217,                0.97083,                0.91726,                0.96393,                  0.801,                 0.7463,                0.39568,                 1.0901,              0.0066835,              0.0066835,              0.0066835
                     69,                0.70096,                0.40538,                 1.0175,                0.94576,                0.94216,                 0.9633,                0.79399,                0.75443,                 0.3907,                 1.0897,               0.006634,               0.006634,               0.006634
                     70,                0.69232,                0.40024,                 1.0098,                 0.9494,                0.93286,                0.96187,                0.80193,                0.73914,                0.39329,                  1.087,              0.0065845,              0.0065845,              0.0065845
                     71,                0.70494,                0.40464,                 1.0205,                0.95451,                0.93222,                0.95932,                0.79613,                0.75013,                0.38677,                 1.1072,               0.006535,               0.006535,               0.006535
                     72,                0.70376,                0.40423,                 1.0201,                0.94451,                0.94396,                0.96061,                0.79744,                 0.7592,                 0.3879,                 1.1024,              0.0064855,              0.0064855,              0.0064855
                     73,                0.70454,                0.39874,                 1.0209,                0.93598,                0.94747,                0.96448,                0.80183,                0.73632,                0.38626,                 1.0883,               0.006436,               0.006436,               0.006436
                     74,                0.69297,                0.41064,                 1.0135,                0.96563,                0.92269,                0.96264,                0.80446,                0.74715,                0.37914,                 1.0967,              0.0063865,              0.0063865,              0.0063865
                     75,                0.68126,                0.40863,                 1.0083,                0.95985,                0.93013,                0.96065,                0.79137,                0.75575,                 0.3883,                 1.1001,               0.006337,               0.006337,               0.006337
                     76,                0.67867,                0.39181,                 1.0053,                0.94316,                0.94674,                0.96247,                0.79282,                 0.7543,                0.38203,                 1.1008,              0.0062875,              0.0062875,              0.0062875
                     77,                0.69767,                0.40092,                 1.0175,                0.94858,                0.94142,                0.96358,                0.79425,                0.75446,                0.38399,                  1.111,               0.006238,               0.006238,               0.006238
                     78,                0.68247,                0.38781,                 1.0134,                0.96639,                 0.9233,                0.96304,                0.79808,                0.76503,                0.37477,                 1.1064,              0.0061885,              0.0061885,              0.0061885
                     79,                0.69445,                0.39306,                  1.015,                0.95533,                0.93888,                0.96364,                0.79914,                0.75083,                0.37599,                 1.1024,               0.006139,               0.006139,               0.006139
                     80,                 0.6821,                0.40364,                 1.0094,                0.93414,                0.94628,                0.95783,                0.79325,                0.74319,                0.38637,                 1.0992,              0.0060895,              0.0060895,              0.0060895
                     81,                0.68464,                0.38843,                 1.0092,                0.94507,                0.93952,                0.96128,                0.79787,                0.74908,                0.37396,                 1.1008,                0.00604,                0.00604,                0.00604
                     82,                0.67771,                0.38446,                 1.0067,                0.95674,                0.93337,                 0.9621,                0.80277,                0.74132,                0.38789,                 1.0884,              0.0059905,              0.0059905,              0.0059905
                     83,                0.67276,                0.37719,                 1.0035,                0.96083,                0.93754,                0.95935,                 0.8063,                0.73488,                0.36636,                  1.093,               0.005941,               0.005941,               0.005941
                     84,                0.66607,                0.38289,                 1.0004,                 0.9399,                 0.9398,                0.96183,                0.80396,                0.75029,                0.37344,                 1.0972,              0.0058915,              0.0058915,              0.0058915
                     85,                0.67204,                0.38132,                 1.0085,                0.95711,                0.93282,                0.96171,                0.80144,                0.74824,                0.37242,                 1.1006,               0.005842,               0.005842,               0.005842
                     86,                0.66756,                0.37892,                 1.0012,                0.94771,                0.94343,                 0.9626,                0.79609,                0.76121,                0.36226,                 1.1143,              0.0057925,              0.0057925,              0.0057925
                     87,                0.67375,                0.38133,                 1.0019,                0.94166,                0.94705,                0.96204,                0.80132,                0.75154,                0.36445,                 1.1087,               0.005743,               0.005743,               0.005743
                     88,                 0.6674,                0.38715,                 1.0078,                0.95597,                0.93339,                0.96383,                0.79935,                0.76348,                0.36828,                 1.1173,              0.0056935,              0.0056935,              0.0056935
                     89,                0.65779,                0.38414,                 0.9921,                0.94391,                0.93851,                0.96062,                0.79923,                0.74474,                0.36622,                 1.1023,               0.005644,               0.005644,               0.005644
                     90,                0.66428,                0.37527,                 1.0024,                0.95537,                0.93237,                0.96777,                0.80609,                0.74721,                0.36244,                 1.1081,              0.0055945,              0.0055945,              0.0055945
                     91,                 0.6651,                0.38417,                 1.0026,                0.94551,                0.94464,                0.96354,                0.80277,                0.74053,                0.37368,                 1.0942,               0.005545,               0.005545,               0.005545
                     92,                 0.6577,                0.36892,                0.99615,                0.93939,                0.94516,                0.96686,                0.80821,                0.74189,                0.35801,                 1.0986,              0.0054955,              0.0054955,              0.0054955
                     93,                0.65856,                0.37111,                 0.9981,                0.94834,                0.94454,                0.96317,                0.80713,                0.74315,                0.36318,                  1.097,               0.005446,               0.005446,               0.005446
                     94,                0.66222,                0.37891,                  0.998,                0.93989,                0.95089,                0.96658,                0.80593,                0.73938,                0.36169,                   1.09,              0.0053965,              0.0053965,              0.0053965
                     95,                0.65973,                0.37509,                0.99567,                0.95773,                0.92973,                0.96449,                0.80293,                0.74949,                0.37561,                  1.109,               0.005347,               0.005347,               0.005347
                     96,                0.65179,                0.37199,                 1.0004,                 0.9352,                0.95487,                 0.9647,                0.80382,                0.73862,                0.37181,                  1.103,              0.0052975,              0.0052975,              0.0052975
                     97,                0.65356,                0.38899,                 1.0002,                0.95586,                0.94218,                0.96707,                 0.8004,                0.75573,                0.36462,                 1.1195,               0.005248,               0.005248,               0.005248
                     98,                0.65732,                0.39535,                 1.0032,                0.93503,                0.95114,                0.96739,                0.79895,                0.75989,                0.36774,                 1.1223,              0.0051985,              0.0051985,              0.0051985
                     99,                0.64523,                0.36501,                0.99879,                0.94474,                0.95438,                0.96851,                0.79786,                0.75504,                0.36814,                 1.1204,               0.005149,               0.005149,               0.005149
                    100,                0.64185,                0.36672,                0.98296,                0.93505,                0.94994,                0.96991,                0.79992,                0.76612,                0.36998,                 1.1188,              0.0050995,              0.0050995,              0.0050995
                    101,                0.64945,                0.36711,                0.98976,                0.92541,                0.95563,                0.96481,                0.80111,                0.75342,                 0.3655,                 1.1055,                0.00505,                0.00505,                0.00505
                    102,                0.64033,                0.36509,                0.98889,                0.94963,                0.93605,                0.96902,                0.80045,                0.75342,                0.36644,                 1.1147,              0.0050005,              0.0050005,              0.0050005
                    103,                0.63926,                0.35616,                0.98784,                0.95128,                0.94841,                0.96743,                0.80524,                0.74596,                0.35865,                 1.1066,               0.004951,               0.004951,               0.004951
                    104,                0.64197,                0.36152,                0.98971,                0.95141,                0.93894,                0.96695,                0.80629,                0.74726,                0.36188,                 1.1119,              0.0049015,              0.0049015,              0.0049015
                    105,                0.64171,                0.36861,                0.99151,                0.94262,                0.94589,                0.96545,                0.80438,                0.75234,                0.36326,                 1.1086,               0.004852,               0.004852,               0.004852
                    106,                0.64083,                0.36378,                0.99633,                0.94208,                 0.9447,                0.96854,                0.80518,                0.74778,                0.37132,                 1.1089,              0.0048025,              0.0048025,              0.0048025
                    107,                0.63968,                0.35573,                0.99244,                0.93954,                0.94941,                 0.9632,                0.80421,                 0.7563,                0.37579,                 1.1227,               0.004753,               0.004753,               0.004753
                    108,                0.63946,                0.35511,                 0.9942,                0.94435,                 0.9496,                0.96466,                0.79693,                0.74906,                0.37333,                 1.1183,              0.0047035,              0.0047035,              0.0047035
                    109,                0.63373,                0.35255,                0.99025,                0.94575,                0.94661,                0.96703,                0.80483,                0.75038,                0.36845,                 1.1199,               0.004654,               0.004654,               0.004654
                    110,                0.63477,                0.36279,                0.98612,                  0.951,                0.94134,                0.96631,                0.80324,                0.74992,                0.36361,                 1.1253,              0.0046045,              0.0046045,              0.0046045
                    111,                0.63199,                0.35396,                0.98867,                 0.9411,                   0.95,                0.96892,                0.80316,                0.75303,                0.36073,                 1.1268,               0.004555,               0.004555,               0.004555
                    112,                0.61502,                0.34974,                0.97965,                0.94665,                0.94647,                0.96565,                0.80503,                  0.754,                0.36315,                 1.1256,              0.0045055,              0.0045055,              0.0045055
                    113,                0.62698,                0.34503,                0.98044,                0.94615,                0.94283,                0.96416,                0.80417,                0.76302,                0.37144,                 1.1353,               0.004456,               0.004456,               0.004456
                    114,                0.62282,                0.35714,                0.98512,                0.94748,                0.93939,                 0.9649,                0.80276,                0.76088,                 0.3734,                 1.1269,              0.0044065,              0.0044065,              0.0044065
                    115,                0.62741,                0.34967,                0.98399,                0.93942,                0.95139,                0.96144,                0.80324,                0.75869,                 0.3684,                 1.1274,               0.004357,               0.004357,               0.004357
                    116,                0.61763,                0.34716,                0.98108,                0.94997,                0.94415,                0.96372,                0.80388,                0.75874,                0.36669,                 1.1264,              0.0043075,              0.0043075,              0.0043075
                    117,                0.62209,                0.35215,                0.98347,                0.94895,                0.94422,                0.96468,                0.80575,                0.75813,                0.36414,                 1.1228,               0.004258,               0.004258,               0.004258
                    118,                0.61275,                0.35171,                0.98274,                 0.9478,                0.94324,                0.96556,                0.80969,                0.75772,                0.36574,                 1.1314,              0.0042085,              0.0042085,              0.0042085
                    119,                 0.6169,                0.34463,                0.97915,                0.94897,                 0.9426,                0.96588,                0.80465,                 0.7575,                0.37006,                 1.1326,               0.004159,               0.004159,               0.004159
                    120,                0.61694,                 0.3525,                0.98317,                0.94563,                0.94417,                0.96519,                0.80731,                 0.7573,                0.36856,                 1.1288,              0.0041095,              0.0041095,              0.0041095
                    121,                0.61453,                0.34632,                0.98134,                0.93602,                 0.9526,                0.96351,                0.80418,                0.75625,                0.36149,                 1.1236,                0.00406,                0.00406,                0.00406
                    122,                0.62197,                0.35522,                0.98212,                0.93947,                0.94954,                0.96274,                0.80336,                0.75382,                0.36327,                 1.1212,              0.0040105,              0.0040105,              0.0040105
                    123,                0.61374,                0.35722,                0.98259,                0.94429,                0.95115,                0.96804,                0.80481,                 0.7539,                0.36088,                 1.1208,               0.003961,               0.003961,               0.003961
                    124,                0.61212,                0.34223,                0.97907,                0.95201,                0.93939,                0.96757,                0.80631,                0.75968,                0.35626,                 1.1209,              0.0039115,              0.0039115,              0.0039115
                    125,                0.59957,                0.33697,                0.97433,                0.95195,                0.94032,                0.96928,                0.80825,                0.76377,                0.36072,                 1.1273,               0.003862,               0.003862,               0.003862
                    126,                0.60633,                0.34799,                0.97916,                0.95102,                0.94594,                  0.971,                0.80351,                0.76058,                0.36196,                 1.1238,              0.0038125,              0.0038125,              0.0038125
                    127,                0.60176,                0.33375,                0.97515,                0.94612,                0.94882,                0.96982,                0.80211,                0.76651,                 0.3617,                 1.1295,               0.003763,               0.003763,               0.003763
                    128,                0.59758,                0.33365,                0.97306,                0.94692,                0.94883,                0.96926,                0.80154,                0.76336,                0.35567,                 1.1285,              0.0037135,              0.0037135,              0.0037135
                    129,                0.60777,                0.33949,                0.97634,                0.94578,                0.94955,                0.96662,                0.79983,                0.76085,                0.35833,                 1.1255,               0.003664,               0.003664,               0.003664
                    130,                0.59956,                0.33373,                0.97411,                0.95283,                0.94719,                0.96868,                0.80276,                0.76004,                 0.3564,                 1.1246,              0.0036145,              0.0036145,              0.0036145
                    131,                0.59114,                 0.3354,                0.96204,                 0.9528,                0.94883,                0.96786,                0.80392,                0.75509,                0.35508,                 1.1186,               0.003565,               0.003565,               0.003565
                    132,                0.60307,                0.33395,                0.97253,                0.95328,                0.95013,                0.96778,                0.80395,                 0.7565,                0.35493,                 1.1233,              0.0035155,              0.0035155,              0.0035155
                    133,                0.58839,                 0.3281,                 0.9681,                0.95407,                 0.9464,                0.96669,                0.80459,                0.75686,                0.35952,                 1.1242,               0.003466,               0.003466,               0.003466
                    134,                0.60662,                0.34004,                0.97811,                0.95301,                0.94651,                0.96556,                0.80438,                 0.7525,                0.35849,                 1.1188,              0.0034165,              0.0034165,              0.0034165
                    135,                0.58288,                0.34279,                0.96171,                0.95402,                0.94733,                0.96629,                0.80397,                0.75535,                0.35303,                 1.1225,               0.003367,               0.003367,               0.003367
                    136,                0.58956,                0.33154,                0.96684,                0.95482,                0.95167,                 0.9657,                0.80406,                0.75412,                0.35709,                 1.1216,              0.0033175,              0.0033175,              0.0033175
                    137,                0.59252,                0.32983,                0.96416,                0.94946,                0.95474,                0.96698,                0.80647,                0.75746,                0.35383,                 1.1273,               0.003268,               0.003268,               0.003268
                    138,                0.59127,                0.32783,                0.96298,                0.95817,                0.94419,                0.96504,                0.80744,                0.75788,                0.35528,                 1.1278,              0.0032185,              0.0032185,              0.0032185
                    139,                0.58464,                0.32555,                0.96562,                0.95384,                0.94765,                0.96545,                0.80583,                0.75975,                0.35656,                 1.1309,               0.003169,               0.003169,               0.003169
                    140,                 0.5904,                 0.3209,                0.97286,                0.95426,                0.94894,                0.96479,                0.80603,                0.75758,                0.35872,                 1.1266,              0.0031195,              0.0031195,              0.0031195
                    141,                0.57904,                 0.3205,                0.96946,                0.95495,                0.95222,                0.96457,                0.80575,                0.75767,                0.35934,                 1.1293,                0.00307,                0.00307,                0.00307
                    142,                0.58869,                0.31989,                0.97215,                0.95569,                0.94948,                0.96391,                0.80438,                0.76355,                0.35825,                 1.1349,              0.0030205,              0.0030205,              0.0030205
                    143,                0.57742,                0.32315,                0.96333,                0.95338,                  0.949,                0.96433,                0.80332,                0.76351,                0.35069,                 1.1352,               0.002971,               0.002971,               0.002971
                    144,                0.58401,                 0.3209,                0.96958,                0.95574,                 0.9433,                0.96393,                0.80346,                0.76239,                0.34973,                 1.1324,              0.0029215,              0.0029215,              0.0029215
                    145,                0.57211,                0.31904,                0.96199,                0.95615,                0.94734,                0.96386,                0.80274,                0.76544,                0.35324,                 1.1336,               0.002872,               0.002872,               0.002872
                    146,                 0.5777,                0.31948,                0.96472,                0.95322,                 0.9479,                0.96472,                0.80052,                0.76669,                0.35657,                 1.1332,              0.0028225,              0.0028225,              0.0028225
                    147,                0.58228,                0.32059,                0.96483,                0.95645,                0.94194,                0.96469,                0.80058,                0.76827,                0.35628,                 1.1324,               0.002773,               0.002773,               0.002773
                    148,                0.57002,                0.31804,                0.96297,                0.95705,                0.94176,                0.96058,                0.79955,                0.77061,                0.35727,                 1.1357,              0.0027235,              0.0027235,              0.0027235
                    149,                0.57242,                0.31813,                0.96305,                0.95348,                0.94392,                0.96008,                0.80005,                0.77259,                0.35581,                 1.1388,               0.002674,               0.002674,               0.002674
                    150,                0.56312,                0.31478,                0.95344,                 0.9534,                 0.9449,                0.96023,                0.79965,                0.77206,                0.35419,                 1.1384,              0.0026245,              0.0026245,              0.0026245
                    151,                0.56495,                0.31759,                0.95385,                0.95622,                0.94663,                0.96297,                0.80043,                0.76995,                0.35812,                 1.1343,               0.002575,               0.002575,               0.002575
                    152,                0.56388,                0.31721,                 0.9597,                0.95478,                0.94515,                0.96017,                0.79961,                0.77024,                 0.3559,                 1.1356,              0.0025255,              0.0025255,              0.0025255
                    153,                0.56299,                0.31609,                0.96125,                0.94923,                0.95029,                0.96305,                0.79982,                0.77229,                 0.3546,                 1.1362,               0.002476,               0.002476,               0.002476
                    154,                0.55852,                0.31246,                0.95451,                0.94877,                0.95014,                0.96333,                0.79959,                0.77415,                0.35662,                 1.1366,              0.0024265,              0.0024265,              0.0024265
                    155,                0.56214,                0.31299,                0.95186,                0.95039,                0.94715,                0.96356,                0.79983,                0.77731,                0.35063,                 1.1403,               0.002377,               0.002377,               0.002377
                    156,                0.55325,                0.31114,                0.95503,                0.95179,                0.94818,                 0.9629,                0.79745,                0.77581,                0.35089,                 1.1387,              0.0023275,              0.0023275,              0.0023275
                    157,                0.55553,                0.30433,                 0.9576,                0.95328,                0.95128,                0.96278,                0.79932,                 0.7751,                0.35054,                 1.1394,               0.002278,               0.002278,               0.002278
                    158,                0.56207,                 0.3087,                0.95409,                0.95297,                0.95002,                0.96464,                0.80185,                0.77273,                0.35291,                 1.1371,              0.0022285,              0.0022285,              0.0022285
