epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,10120.5,0.73504,0.42792,1.02463,0.92511,0.9524,0.96414,0.7857,0.75082,0.41494,1.0869,0.0087922,0.0087922,0.0087922
63,10228.2,0.73319,0.42807,1.02119,0.9526,0.9282,0.9647,0.79363,0.74247,0.39985,1.07351,0.0087724,0.0087724,0.0087724
64,10339.8,0.73531,0.43881,1.02524,0.94281,0.93849,0.96161,0.78727,0.739,0.40489,1.0813,0.0087526,0.0087526,0.0087526
65,10452.1,0.72406,0.43331,1.02773,0.95285,0.93842,0.96122,0.79024,0.74504,0.40602,1.08703,0.0087328,0.0087328,0.0087328
66,10562.6,0.733,0.43286,1.03013,0.94132,0.94254,0.96245,0.79849,0.74177,0.39975,1.08358,0.008713,0.008713,0.008713
67,10670.5,0.72581,0.42787,1.02377,0.94712,0.93969,0.96596,0.79288,0.75633,0.40525,1.09151,0.0086932,0.0086932,0.0086932
68,10778,0.7362,0.42908,1.03315,0.95371,0.92973,0.96181,0.79557,0.74214,0.40007,1.08841,0.0086734,0.0086734,0.0086734
69,10884.4,0.72197,0.42721,1.02678,0.95158,0.9248,0.96265,0.79368,0.7552,0.40195,1.09189,0.0086536,0.0086536,0.0086536
70,10995.7,0.719,0.42203,1.0189,0.95793,0.93147,0.96504,0.79666,0.74478,0.39888,1.08268,0.0086338,0.0086338,0.0086338
71,11102.2,0.73071,0.42155,1.02661,0.96041,0.91505,0.9594,0.79143,0.7517,0.40074,1.09304,0.008614,0.008614,0.008614
72,11210,0.72299,0.42548,1.02057,0.94825,0.94722,0.96483,0.79862,0.73436,0.38451,1.07905,0.0085942,0.0085942,0.0085942
73,11317.4,0.72344,0.41815,1.02446,0.94084,0.95139,0.96515,0.799,0.74149,0.37915,1.094,0.0085744,0.0085744,0.0085744
74,11425.4,0.72151,0.42147,1.02385,0.95419,0.93931,0.96254,0.79996,0.73755,0.38069,1.08271,0.0085546,0.0085546,0.0085546
75,11538.5,0.70537,0.43243,1.01266,0.95251,0.93861,0.96537,0.79963,0.73829,0.38537,1.08411,0.0085348,0.0085348,0.0085348
76,11652.5,0.71276,0.41115,1.01729,0.96042,0.92316,0.96172,0.79049,0.73901,0.38301,1.08125,0.008515,0.008515,0.008515
77,11761.6,0.71928,0.42123,1.02103,0.94754,0.94062,0.96548,0.7899,0.75847,0.38822,1.1026,0.0084952,0.0084952,0.0084952
78,11868.8,0.70246,0.41276,1.01567,0.95073,0.94469,0.96875,0.79902,0.74868,0.38309,1.08867,0.0084754,0.0084754,0.0084754
79,11976.7,0.72278,0.41372,1.02373,0.9563,0.94032,0.96368,0.80034,0.74283,0.38046,1.08379,0.0084556,0.0084556,0.0084556
80,12084.3,0.7046,0.41656,1.01339,0.94627,0.94313,0.96049,0.79591,0.75946,0.38173,1.09649,0.0084358,0.0084358,0.0084358
81,12192.5,0.71558,0.41546,1.01687,0.9388,0.95223,0.96331,0.79536,0.74488,0.39285,1.08476,0.008416,0.008416,0.008416
82,12300.9,0.70286,0.40532,1.01485,0.95242,0.94273,0.96644,0.79901,0.75836,0.37536,1.09885,0.0083962,0.0083962,0.0083962
83,12409.4,0.69989,0.40131,1.01286,0.95209,0.94083,0.96442,0.79362,0.75408,0.36902,1.10038,0.0083764,0.0083764,0.0083764
84,12515.7,0.69586,0.40942,1.00994,0.94986,0.93619,0.96291,0.79295,0.75108,0.37899,1.0905,0.0083566,0.0083566,0.0083566
85,12625.8,0.70509,0.40878,1.01851,0.94926,0.94817,0.96552,0.79093,0.74899,0.38478,1.08912,0.0083368,0.0083368,0.0083368
86,12736,0.69987,0.40521,1.01352,0.95192,0.94307,0.9631,0.79675,0.74488,0.36851,1.10237,0.008317,0.008317,0.008317
87,12845.7,0.70695,0.4056,1.01378,0.94717,0.95448,0.96563,0.7934,0.74115,0.37843,1.0948,0.0082972,0.0082972,0.0082972
88,12957.9,0.69592,0.4019,1.01704,0.9504,0.93319,0.96145,0.79674,0.75339,0.38029,1.09906,0.0082774,0.0082774,0.0082774
89,13066.9,0.69394,0.42092,1.00353,0.9447,0.94045,0.96133,0.80019,0.73457,0.38324,1.08532,0.0082576,0.0082576,0.0082576
